site_id,x,y,georeference,date,time,height,person,location,country,area,shape,exposition,slope,elevation,soil.type,cover_soil_rock,cover_water,cover_litter,cover_dead_matter,cover_total,cover_field,cover_shrub,cover_tree,pH,moisture,salinity,sand,silt,clay,texture.grade,grazing.pressure,fire.history,corral,water,fire,prec,temp,comments
037S1,36.57148,1.21024,wgs84,30/08/2016,16.03,9.3,DIKKO,Siambu,Kenya,4000,Rectangle,285,16,2365,sandy,90,10,70,15,135,25,40,70,6.53,19.05,0.2,63,15,22,SCL,3,0,yes,yes,no,658,161,"Some plants were cut ie Juniperus procera. Ajuga remota, Myrisine africana, Lminchomi, lesermende and Enteropogan macrostachyus mostly grew on the open margins of the forests. Ajuga remota mostly found in flat areas."
037S2,36.57184,1.21266,wgs84,30/08/2016,17.15,9.4,LELESIT,Ntole,Kenya,4000,Rectangle,111,12,2396,sandy,90,10,70,10,140,25,45,70,5.88,15.35,0.11,60,14,26,SCL,2,0,yes,yes,no,658,161,"Water in the area was used for open bathing with artificial soap, some plants were cut in the site ie Juniperus procera"
190P,36.72436,1.06634,wgs84,29/08/2016,15.32,9.2,LENANYOKIE,Morijoi,Kenya,4000,Rectangle,232,8,1954,sandy,90,0,30,10,140,40,90,10,6.22,13.25,0.08,81,5,14,SL,4,2,yes,yes,yes,602,161,
190S1,36.72075,1.07035,wgs84,29/08/2016,16.35,10,LEKARABI,Ngari,Kenya,4000,Rectangle,183,11,1940,sandy,95,0,10,2,115,20,80,15,6.13,17.93,0.06,76,10,14,SCL,4,0,yes,yes,no,602,161,"Aloe secundiflora grows next to some shrubs, some plants were cut ie Euphorbia candelabrium"
190S2,36.72054,1.07462,wgs84,29/08/2016,17.47,13.6,DIKKO,Ngari,Kenya,4000,Rectangle,347,5,1973,sandy,95,0,5,1,105,20,80,5,6.27,6.83,0.05,56,20,24,SCL,4,1,yes,no,yes,602,161,Most trees and shrubs in the area were cut ie Croton megalocarpus
098P,36.7239,1.06003,wgs84,29/08/2016,11.23,8.7,LEKARABI,Morijoi,Kenya,4000,Rectangle,192,7,1916,sandy,90,0,10,5,110,25,80,5,6.75,11.65,0.06,84,30,14,LS,4,2,yes,no,yes,602,161,Some trees were cut in the site
098S1,36.7269,1.06398,wgs84,29/08/2016,12.45,8.4,DIKKO,Morijoi,Kenya,4000,Rectangle,231,11,1952,sandy,95,0,10,5,110,20,80,10,6.29,10.43,0.07,85,7,8,S,4,0,yes,no,no,602,161,Some plants were cut in the site ie Acacia drepanolobium
098S2,36.72884,1.06779,wgs84,29/08/2016,14.15,13.9,DIKKO,Morijoi,Kenya,4000,Rectangle,239,13,2000,sandy,90,0,30,8,115,25,70,20,6.44,14.25,0.08,75,5,20,SL,4,0,yes,no,no,602,161,Some trees were cut ie Juniperus procera
080P,36.71527,1.03945,wgs84,31/08/2016,11.3,7.5,LEKARABI,Lodungoro,Kenya,4000,Rectangle,174,2,1854,sandy,90,0,5,5,120,40,70,10,6.53,18.03,0.23,56,20,24,SCL,4,0,yes,yes,no,602,161,Opuntia ficus-indica dominated the site
080S1,36.71602,1.03237,wgs84,31/08/2016,13.01,9.3,DIKKO,Lodungoro,Kenya,4000,Rectangle,92,6,1864,sandy,90,0,8,2,120,10,75,35,6.53,12.5,0.12,81,3,16,SL,4,2,yes,yes,yes,602,161,"Gully erosion in some part of the site, some plants were cut in the area and used to produce charcoal ie Acacia drepanolobium"
080S2,36.71419,1.02701,wgs84,31/08/2016,14.15,9.7,LEKARABI,Ledero,Kenya,4000,Rectangle,352,3,1850,sandy,95,7,3,3,108,10,65,33,7.12,29.7,0.21,60,20,20,SL,4,0,yes,yes,no,602,161,Heavy deposition of soil in the site from elsewhere. Some trees were cut in the site ie Acacia drepanolobium
107P,36.78229,0.93174,wgs84,2/9/2016,11.01,8.4,LEDUDA,Kisima,Kenya,4000,Rectangle,254,5,1779,sandy,90,0,40,5,115,5,90,20,6.41,3.4,0.13,85,10,5,SL,4,0,yes,yes,no,558,172,Most plants especially Croton dichogamous showed signs of water stress. Most Aloe secundiflora grow beneath the shrubs like croton dichogamaous.
107S1,36.78448,0.93376,wgs84,2/8/2016,12.11,9.5,DIKKO,Kisima,Kenya,4000,Rectangle,276,4,1788,sandy,95,0,30,1,110,20,85,5,6.11,8.27,0.15,82,13,5,SL,4,0,yes,yes,no,558,172,Most plants showed signs of water stress ie Croton dichogamous. Cyphostema adenocaule grows under the shrubs like Croton dichogamous. Some trees were cut ie Croton dichogamous.
107S2,36.78413,0.93511,wgs84,2/9/2016,14.15,9.4,LEDUDA,Kisima,Kenya,4000,Rectangle,268,5,1793,sandy,90,0,30,5,115,10,90,15,6.32,6.05,0.14,78,8,14,SL,4,0,yes,yes,no,558,172,"Signs of water stress in most plants ie Solonum incanum and Croton dichogamous, most Aloe secundiflora grow under the shrubs like Croton dichogamous, some plants were cut ie Croton dichogamous."
106P,36.78219,0.92877,wgs84,2/9/2016,15.15,8.4,DIKKO,Kisima,Kenya,4000,Rectangle,283,6,1771,sandy,95,0,30,2,105,10,80,15,6.41,4.1,0.15,83,10,7,SL,4,0,no,yes,no,558,172,Signs of water stress in most plants ie Croton dichogamous.
081P,36.70083,1.04405,wgs84,31/08/2016,15.21,10.7,LEKARABI,Ngoroto,Kenya,4000,Rectangle,188,3,1893,sandy,97,0,5,3,115,12,85,18,6.43,12.83,0.17,56,20,24,SCL,4,0,yes,no,no,602,161,Some plants were cut in the site ie Acacia drepanolobium
081S1,36.69977,1.0501,wgs84,31/08/2016,16.38,9.3,LEKARABI,Ngoroto,Kenya,4000,Rectangle,78,3,1902,sandy,95,0,12,3,115,20,90,5,6.46,8.03,0.09,66,18,16,SL,4,0,yes,no,no,602,161,Some trees were cut in the site ie Acacia drepanolobium
081S2,36.70009,1.05665,wgs84,31/08/2016,17.52,10.5,DIKKO,Ngoroto,Kenya,4000,Rectangle,237,6,1889,sandy,90,20,5,2,107,10,90,7,6.02,8.63,0.1,85,11,10,SL,4,0,yes,yes,no,602,161,Acacia drepanolobium was affected by a strange disease. Some trees were cut in the site ie Acacia drepanolobium
42MS,36.68718,1.08211,wgs84,5/9/2016,11.21,11.7,DIKKO,Maralal Sanctuary,Kenya,4000,Rectangle,74,5,1963,sandy,95,0,26,7,130,20,60,50,6.35,5.1,0.06,78,2,20,SCL,3,0,no,no,no,602,161,Evidence of zebra grazing ie dung in the site
43MS,36.68809,1.08382,wgs84,5/9/2016,12.45,8.9,DIKKO,Maralal Sanctuary,Kenya,4000,Rectangle,13,10,1950,sandy,90,0,35,5,165,35,60,70,5.95,6.1,0.1,84,2,14,LS,2,0,no,no,no,602,161,"Evidence of zebra and gazel grazing ie dung, Senna didymobotrya grew next to areas eroded by water."
44MS,36.68394,1.08254,wgs84,5/9/2016,14.03,14.6,DIKKO,Maralal Sanctuary,Kenya,4000,Rectangle,76,13,1987,sandy,94,0,20,3,154,25,79,50,6.39,2.47,0.07,66,8,26,SCL,0,0,no,no,no,602,161,"Heavy gully erosion in some part of the site, huge rocks in the site, Senna didymobotrya grew next to areas eroded by water, some Juniperus procera trees dried up, some Juniperus procera trees was attacked by a strange disease."
45MS,36.68972,1.08107,wgs84,8/9/2016,9.41,12,DIKKO,Maralal Sanctuary,Kenya,4000,Rectangle,34,10,1956,sandy,95,0,15,5,130,10,80,40,6.33,3.13,0.05,85,5,10,S,3,2,no,no,yes,602,161,"Some Juniperus procera trees dried up, most Acokanthera longiflora had Viscum tuberculatum. some clusters of gazel and zebra dung."
46MS,36.69307,1.07874,wgs84,8/9/2016,11.23,10.6,DIKKO,Ngoroto,Kenya,4000,Rectangle,56,7,1934,sandy,90,0,20,3,198,80,38,80,6.02,2.47,0.05,82,4,14,LS,0,0,no,no,no,602,161,"Some plants dried up ie Maerua triphylla and Olea africana, most Acokanthera longiflora trees had Viscum tuberculatum and fruits, some clusters of zebra dung and gazel dung."
142P,36.86341,0.86979,wgs84,13/09/2016,10.51,10,DIKKO,Ltirim,Kenya,4000,Rectangle,172,16,1719,sandy,96,0,40,2,181,38,95,48,7.2,2.46,0.24,79,7,14,SL,4,0,yes,no,no,649,185,"Signs of water stress on most plants, many dry litter leaves under most croton dichogamus, some plants completely dried up ie Acacia tortilis, Aloe secundiflora grows next to most shrubs like croton dichogamus."
142S1,36.86105,0.8729,wgs84,13/09/2016,12.15,11.6,LEDUDA,Nkasirarua,Kenya,4000,Rectangle,156,14,1730,sandy,95,0,40,3,130,15,90,25,5.97,5.16,0.08,79,11,10,LS,4,0,yes,no,no,649,185," Signs of water stress on most plants ie Psiadia panctulata and Croton dichogamus, Lippia javanica grows only in the deep parts under gully erosion, many dry litter leaves under most Croton dichogamus, most Aloe secundiflora grow under most shrubs especially Croton dichogamus."
142S2,36.86046,0.86968,wgs84,13/09/2016,13.31,9.6,LETUNDA,Loruko,Kenya,4000,Rectangle,106,17,1720,sandy,95,0,38,1,140,35,95,10,6.2,4.8,0.69,79,17,14,SL,4,0,yes,no,no,649,185,"Signs of water stress in most plants, some plants dried up ie Croton dichogamus, most croton dichogamus had dry leaves as litter under them."
143P,36.85321,0.84978,wgs84,13/09/2016,14.41,9.4,DIKKO,Lodokejek,Kenya,4000,Rectangle,236,8,1704,sandy,95,35,40,2,203,40,78,85,6.04,5.9,0.14,72,10,18,SL,4,2,no,yes,yes,649,185,Some trees were cut in the site ie Balanites aegyptiaca. Acacia xanthophloea grows along the river called Seya which is in the site. Senna didymobotrya also grows along the river. Signs of water stress on most plants ie Croton dichogamus. Croton dichogamus dropped most dry leaves as litter under the plant.
042P,37.38479,1.03181,wgs84,5/10/2016,15.55,9.3,LETININI,Namunyak,Kenya,4000,Rectangle,258,3,894,sandy,93,0,40,7,143,20,48,75,6.28,4.6,0.11,85,23,8,S,4,0,no,no,no,589,222,"Some plants dried up ie Acacia tortilis, Some trees were cut ie Acacia tortilis, Cordia sinensis grew along the lagga in the site"
043P,37.38961,1.02153,wgs84,5/10/2016,14.45,13.3,DIKKO,Namunyak,Kenya,4000,Rectangle,24,3,916,sandy,93,0,25,3,110,20,80,10,6.3,3.9,0.08,89,7,4,S,4,0,no,no,no,589,222,"Some plants were cut in the site ie Acacia tortilis, heavy gully erosion in the site"
051P,37.33769,0.97166,wgs84,5/10/2016,11.04,10.5,ROTICH,Wamba,Kenya,4000,Rectangle,259,5,1338,sandy,96,4,20,2,140,45,25,70,6.78,2.57,0.21,83,10,7,SL,4,0,no,yes,no,716,209,"Many rocks in the site, seasonal stream passing through the site, some plants like Solanum incanum dried up completely, some trees were cut in the site ie Acacia tortilis, Plumbago zeylanica found along seasonal stream"
052P,37.34382,0.97398,wgs84,5/10/2016,9.36,9.3,DIKKO,Wamba,Kenya,4000,Rectangle,248,13,1440,sandy,95,0,58,5,150,35,45,70,7.03,2.07,0.3,68,22,10,SL,2,0,no,no,no,716,209,"Some trees were cut in the site ie Acacia tortilis, most plants were dry due to water stress"
073P,37.3885,0.62995,wgs84,6/10/2016,10.24,11.8,LETININI,Wamba,Kenya,4000,Rectangle,192,3,992,sandy,94,0,5,3,130,20,70,40,7.05,2.5,0.14,56,20,24,SCL,4,2,yes,no,yes,595,232,"Some plants were cut in the site ie Acacia senegal, seasonal stream with no water passing through the site, many rocks in the site, some part of the site was previously inhabited by people as evidenced by dumped goat feces, Acacia tortilis had peeled back which is an evidence of use by the community. "
073S1,37.38767,0.6331,wgs84,6/10/2016,11.25,9.5,DIKKO,Westgate,Kenya,4000,Rectangle,140,3,1001,sandy,95,0,15,5,140,20,75,45,7.3,4.77,0.13,85,9,6,LS,4,0,yes,no,no,595,232,"Some trees were cut in the site ie Acacia tortilis, evidence of water stress on most plants ie Aloe secundiflora, Acacia tortilis had peeled bark which is evidence of use by the community"
073S2,37.38498,0.63304,wgs84,6/10/2016,12.11,9.7,DIKKO,Westgate,Kenya,4000,Rectangle,127,2,1014,sandy,95,0,20,3,125,20,45,60,6.92,1.9,0.1,82,6,12,LS,4,2,yes,no,yes,595,232,"Some trees were cut in the site ie Acacia tortilis, Acacia tortilis was burnt to produce charcoal, evidence of water stress on most plants ie Ipomoea spathulata and Acacia senegal"
074P,37.34386,0.79828,wgs84,6/10/2016,17.36,13.2,LETININI,Lampaute,Kenya,4000,Rectangle,64,1,1090,sandy,95,0,20,40,125,30,80,15,6.48,2.1,0.08,85,7,8,S,4,0,no,no,no,674,222,"Evidence of water stress on most plants ie Pentarrhinum insipidum, Lchurai which is a toxic plant to all other plants was cut down in the site by the community members"
075P,37.15413,0.97679,wgs84,7/10/2016,9.28,12.3,DIKKO,Nkaroni,Kenya,4000,Rectangle,191,2,1223,sandy,94,0,10,3,133,25,90,18,6.78,3.91,0.08,84,2,14,LS,4,2,yes,no,yes,748,207,"Signs of water stress on most plants ie Solonum incanum, some plants were cut in the site ie Balanites aegyptiaca and Acacia tortilis, Ademum obesum mostly grows under shade of other plants"
075S1,37.14879,0.97476,wgs84,7/10/2016,10.42,8.3,DIKKO,Nkaroni,Kenya,4000,Rectangle,183,2,1253,sandy,95,0,35,3,125,25,85,15,7,2.5,0.1,79,7,14,LS,4,2,yes,no,yes,748,207,"Heavy gully erosion in some part of the site, seasonal stream with no water passing through the site, Adenium obesum only found under shade, evidence of water stress on most plants ie Solonum incanum, part of the site was previously inhabited by people, most Acacia tortilis along the stream had very green leaves."
075S2,37.14263,0.97455,wgs84,7/10/2016,12.04,8.8,LETININI,Nkaroni,Kenya,4000,Rectangle,58,2,1263,sandy,98,0,20,2,191,68,38,85,5.74,1.3,0.5,81,5,14,SL,4,1,yes,no,yes,748,207,"Adenium obesum grows under the shade of most plants, evidence of stress on most plants ie Acacia tortilis,  some trees were cut in the site ie Acacia tortilis, Acacia  tortilis had peeled back which is an evidence of use by the community, gully erosion in some parts of the site thereby destroying most plants."
076P,37.16271,0.93716,wgs84,7/10/2016,13.11,7.9,DIKKO,Ndikir,Kenya,4000,Rectangle,72,3,1239,sandy,95,0,10,2,125,20,30,75,6.63,5.1,0.21,76,6,18,SL,2,0,no,no,no,748,207,"Evidence of water stress on most plants ie Ipomoea spathulata, gully erosion is some part of the site, some trees were cut in the site ie Acacia tortilis"
